Location,Population
Afghanistan,38928341
Albania,2877800
Algeria,43851043
American Samoa,55197
Andorra,77265
Angola,32866268
Anguilla,15002
Antigua and Barbuda,97928
Argentina,45195777
Armenia,2963234
Aruba,106766
Australia,25499881
Austria,9006400
Azerbaijan,10139175
Bahamas,393248
Bahrain,1701583
Bangladesh,164689383
Barbados,287371
Belarus,9449321
Belgium,11589616
Belize,397621
Benin,12123198
Bermuda,62273
Bhutan,771612
Bolivia (Plurinational State of),11673029
Bosnia and Herzegovina,3280815
Botswana,2351625
Brazil,212559409
British Virgin Islands,30237
Brunei Darussalam,437483
Bulgaria,6948445
Burkina Faso,20903278
Burundi,11890781
Cabo Verde,555988
Cambodia,16718971
Cameroon,26545864
Canada,37742157
Cayman Islands,65720
Chad,16425859
Channel Islands,173859
Chile,19116209
China,1439323774
"China, Taiwan Province of China",23816775
Colombia,50882884
Comoros,869595
Congo,5518092
Cook Islands,17564
Costa Rica,5094114
Croatia,4105268
Cuba,11326616
Curaçao,164100
Cyprus,1207361
Czechia,10708982
Côte d'Ivoire,26378275
Dem. People's Republic of Korea,25778815
Democratic Republic of the Congo,89561404
Denmark,5792203
Djibouti,988002
Dominica,71991
Dominican Republic,10847904
Ecuador,17643060
Egypt,102334403
El Salvador,6486201
Equatorial Guinea,1402985
Eritrea,3546427
Estonia,1326539
Eswatini,1160164
Ethiopia,114963583
Falkland Islands (Malvinas),3483
Faroe Islands,48865
Fiji,896444
Finland,5540718
France,65273512
French Guiana,298682
French Polynesia,280904
Gabon,2225728
Gambia,2416664
Georgia,3989175
Germany,83783945
Ghana,31072945
Gibraltar,33691
Greece,10423056
Greenland,56772
Grenada,112519
Guadeloupe,400127
Guam,168783
Guatemala,17915567
Guinea,13132792
Guinea-Bissau,1967998
Guyana,786559
Haiti,11402533
Holy See,809
Honduras,9904608
Hungary,9660350
Iceland,341250
India,1380004385
Indonesia,273523621
Iran (Islamic Republic of),83992953
Iraq,40222503
Ireland,4937796
Isle of Man,85032
Israel,8655541
Italy,60461828
Jamaica,2961161
Japan,126476458
Jordan,10203140
Kazakhstan,18776707
Kenya,53771300
Kiribati,119446
Kuwait,4270563
Kyrgyzstan,6524191
Lao People's Democratic Republic,7275556
Latvia,1886202
Lebanon,6825442
Lesotho,2142252
Liberia,5057677
Libya,6871287
Liechtenstein,38137
Lithuania,2722291
Luxembourg,625976
Madagascar,27691019
Malawi,19129955
Malaysia,32365998
Maldives,540542
Mali,20250834
Malta,441539
Marshall Islands,59194
Martinique,375265
Mauritania,4649660
Mauritius,1271767
Mexico,128932753
Monaco,39244
Mongolia,3278292
Montenegro,628062
Montserrat,4999
Morocco,36910558
Mozambique,31255435
Myanmar,54409794
Namibia,2540916
Nauru,10834
Nepal,29136808
Netherlands,17134873
New Zealand,4822233
Nicaragua,6624554
Niger,24206636
Nigeria,206139587
North Macedonia,2083380
Norway,5421242
Oceania,42677809
Oman,5106622
Pakistan,220892331
Palau,18092
Panama,4314768
Papua New Guinea,8947027
Paraguay,7132530
Peru,32971846
Philippines,109581085
Poland,37846605
Portugal,10196707
Puerto Rico,2860840
Qatar,2881060
Republic of Korea,51269183
Republic of Moldova,4033963
Romania,19237682
Russian Federation,145934460
Rwanda,12952209
Saint Helena,6071
Saint Kitts and Nevis,53192
Saint Lucia,183629
Saint Martin (French part),38659
Saint Pierre and Miquelon,5795
Saint Vincent and the Grenadines,110947
Samoa,198410
San Marino,33938
Sao Tome and Principe,219161
Saudi Arabia,34813867
Senegal,16743930
Serbia,8737370
Seychelles,98340
Sierra Leone,7976985
Singapore,5850343
Sint Maarten (Dutch part),42882
Slovakia,5459643
Slovenia,2078932
Solomon Islands,686878
Somalia,15893219
South Africa,59308690
South America,430759772
South Sudan,11193729
Spain,46754783
Sri Lanka,21413250
Sudan,43849269
Suriname,586634
Sweden,10099270
Switzerland,8654618
Syrian Arab Republic,17500657
Tajikistan,9537642
Thailand,69799978
Timor-Leste,1318442
Togo,8278737
Tonga,105697
Trinidad and Tobago,1399491
Tunisia,11818618
Turkey,84339067
Turkmenistan,6031187
Turks and Caicos Islands,38718
Tuvalu,11792
Uganda,45741000
Ukraine,43733759
United Arab Emirates,9890400
United Kingdom,67886004
United Republic of Tanzania,59734213
United States of America,331002647
Uruguay,3473727
Uzbekistan,33469199
Vanuatu,307150
Venezuela (Bolivarian Republic of),28435943
Viet Nam,97338583
Yemen,29825968
Zambia,18383956
Zimbabwe,14862927