country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.mortality,peak.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency,stringency.growth.to.max,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,freedom_house,stringent
Argentina,50,1,57,0,2.84477E-08,0.693147181,1.16952E-07,2.48490665,3.83727E-06,8.42409E-05,1.92812E-07,3.62497E-06,-0.30923101,-0.219783589,11.11,1.929268293,90.21,105.08,11.117789,91.87,16.2585101,21.80499911,1324.603516,12390,13.31183395,-38.416097,-63.616672,-38.416097,85,SI<19
Australia,38,1,64,1,6.16249E-08,0.693147181,2.80113E-07,0.538996501,1.41177E-06,0.000125188,1.68068E-07,1.50085E-05,-0.410497292,-0.173545244,19.44,1.604375,70.78,115.05,15.656475,86.012,3.249129487,10.63399966,5331.817871,53230,8.550324401,-25.274398,133.775136,-25.274398,97,SI>19
Austria,29,1,32,1,2.22064E-07,1.386294361,8.08949E-07,2.197224577,2.75994E-05,0.00066245,2.39512E-06,8.65575E-05,-0.446278493,-0.292334427,11.11,19.2125,87.96,112.2771429,19.001566,58.297,107.2069267,7.385000229,4939.875488,49310,12.47796673,47.516231,14.550072,47.516231,93,SI<19
Belgium,36,1,71,1,3.94442E-07,1.203972804,8.62841E-08,0,0.000336779,0.002521913,2.87696E-05,0.000125359,-0.290449762,-0.126539898,11.50714286,2.13522449,86.24,142.2928571,18.788744,98.001,377.2149273,10.18899989,4507.356445,45910,12.88651847,50.503887,4.469936,50.503887,96,SI<19
Brazil,42,1,63,0,6.38477E-08,3.526360525,7.39289E-09,0.693147181,1.87981E-05,0.000287907,1.57401E-06,2.15453E-05,-0.31814004,-0.17056112,11.11,5.941,70.52,96.07428571,8.922838,86.569,25.06171624,27.90799952,928.7993164,9140,12.70662947,-14.235004,-51.92528,-14.235004,75,SI<19
Canada,47,1,87,1,2.64956E-08,0,6.05613E-08,0.826678573,5.4861E-05,0.000955109,4.42855E-06,5.09245E-05,-0.262285944,-0.113622605,2.78,1.908,79.1,125.9285714,17.232007,81.411,4.075308214,10.69100039,4754.947754,44940,6.428383133,56.130366,-106.346771,56.130366,98,SI<19
Chile,31,1,57,0,1.71881E-07,1.791759469,2.24193E-07,2.079441542,6.92008E-06,0.00068428,4.93224E-07,2.67574E-05,-0.468461374,-0.184714028,4.761428571,2.630687831,75.79,38.61,11.529802,87.564,25.18944607,22.69400036,1381.986206,14670,21.03629906,-35.675147,-71.542969,-35.675147,90,SI<19
China,85,1,22,1,4.84354E-08,2.807680042,1.93712E-06,2.119782217,2.45195E-06,3.31897E-05,1.28632E-07,3.20071E-06,-0.186662488,-0.575097186,0,8.3025,66.42,,10.920884,59.152,148.3488333,45.37799931,440.8256226,9460,52.66459583,35.86166,104.195397,35.86166,10,SI<19
Colombia,34,1,54,0,8.4227E-08,1.098612289,7.01892E-08,2.197224577,4.05132E-06,0.000103208,2.24605E-07,5.21786E-06,-0.450262373,-0.225248561,16.93,3.122608696,88.75,50.33571429,8.478047,80.778,44.74870212,47.05699992,459.1975708,6180,16.52721022,4.570868,-74.297333,4.570868,66,SI<19
Cyprus,11,1,28,1,2.48476E-06,1.609437912,9.82071E-06,2.564949357,5.79777E-06,0.000307144,8.28253E-07,2.96791E-05,-1.27308614,-0.372323892,28.57,33.07,94.71,,13.719062,66.81,128.7083333,11.06000042,1731.694458,28570,17.2944062,35.126413,33.429859,35.126413,94,SI>19
Czechia,23,1,32,1,5.33597E-07,2.397895273,9.07116E-07,1.84582669,1.20193E-05,0.000285501,9.73815E-07,2.57861E-05,-0.601828004,-0.330177346,44.18142857,36.10857143,80.29,26.13,19.420877,73.792,137.6028879,13.68100014,1475.915161,20240,16.07124535,49.817492,15.472962,49.817492,91,SI>19
Denmark,25,1,41,1,7.15247E-07,2.197224577,7.39911E-07,2.397895273,2.98431E-05,0.000791384,2.81166E-06,5.68992E-05,-0.511269398,-0.238395857,20.86285714,1.845061224,85.44,90.56142857,19.812953,87.874,138.0673017,4.89500007,5800.151367,60140,10.02965344,56.26392,9.501785,56.26392,97,SI>19
Egypt,51,1,75,0,1.25639E-08,0.693147181,9.77188E-09,0,3.03906E-06,4.34197E-05,1.32618E-07,2.25242E-06,-0.310505681,-0.173380075,0,2.769375,88.62,110.91,5.229779,42.704,98.87346929,20.72099972,105.7684555,2800,86.99945205,26.820553,30.802498,26.820553,21,SI<19
Estonia,14,1,38,1,1.50768E-06,1.386294361,9.69225E-07,0.693147181,1.23845E-05,0.000667042,2.04614E-06,4.50151E-05,-0.935682502,-0.26338191,51.58714286,7.175714286,80.29,59.32857143,19.626357,68.88,30.38610536,6.148999959,1300.481689,21140,6.732124015,58.595272,25.013607,58.595272,94,SI>19
Finland,33,1,72,1,4.8988E-07,1.945910149,1.80482E-07,0,2.12969E-05,0.000420463,2.50097E-06,2.72227E-05,-0.390873752,-0.145992489,16.66428571,2.059489796,74.33,63.68142857,21.720788,85.382,18.15685565,9.585000366,4205.742676,48280,5.861331001,61.92411,25.748151,61.92411,100,SI<19
France,54,1,83,1,1.53202E-08,0,5.47148E-08,-0.336472237,0.00014132,0.001846586,1.49481E-05,0.00012849,-0.205757909,-0.107947695,13.5,2.448709677,89.41,94.12142857,20.034625,80.444,122.3383957,7.428000182,4379.727051,41080,11.81496362,46.227638,2.213749,46.227638,90,SI<19
Germany,37,1,66,1,6.30874E-08,1.704748092,6.13824E-08,1.966112856,3.58695E-05,0.000804825,3.10151E-06,6.96622E-05,-0.342800539,-0.145028078,19.39428571,1.702163265,78.97,108.68,21.461962,77.312,237.3709698,5.620000124,5033.452148,47090,12.02876736,51.165691,10.451526,51.165691,94,SI>19
Greece,24,1,36,1,2.60412E-07,1.609437912,4.52294E-07,1.945910149,4.98894E-06,0.000118803,4.93412E-07,8.93623E-06,-0.605080085,-0.322927678,13.37857143,2.035827068,90.74,109.5057143,21.655272,79.058,83.22473235,25.79600072,1516.587769,19770,16.21826638,39.074208,21.824312,39.074208,88,SI<19
Hungary,40,1,40,1,1.77456E-07,1.386294361,5.1758E-07,1.504077397,2.21672E-05,0.000119191,1.56753E-06,1.05586E-05,-0.334150287,-0.286464191,11.11,5.179230769,78.44,106.3457143,19.157725,71.351,107.9066055,6.024000153,981.4230347,14780,15.92604819,47.162494,19.503304,47.162494,70,SI<19
Iceland,6,1,34,1,4.60492E-06,0.336472237,3.43276E-05,3.526360525,3.76766E-06,0.003195395,2.9304E-06,0.000216431,-2.123395104,-0.248183468,11.11,1.167058824,50.79,94.21285714,14.795093,93.813,3.526922693,8.107999831,6086.311523,67960,6.481147263,64.963051,-19.020835,64.963051,94,SI<19
India,48,1,90,0,1.34575E-09,1.098612289,1.44927E-09,1.098612289,6.04035E-07,1.96322E-05,3.75775E-08,1.20217E-06,-0.35618458,-0.151459802,9.352857143,8.240649351,100,103.1685714,6.179956,34.03,454.9380726,74.26999855,69.29309845,2020,90.87321047,20.593684,78.96288,20.593684,71,SI<19
Indonesia,34,1,58,0,1.35794E-08,1.609437912,1.14903E-08,1.098612289,1.24513E-06,3.17352E-05,1.24304E-07,1.27533E-06,-0.467662883,-0.234005246,20.51857143,1.205487013,73.56,98.64428571,5.857166,55.325,147.7521901,47.8949995,114.9717865,3840,16.5026533,-0.789275,113.921327,-0.789275,61,SI>19
Ireland,45,1,47,1,3.18245E-07,0.693147181,1.0126E-06,2.890371758,0.000163954,0.002158742,1.42342E-05,0.000193753,-0.247996913,-0.181892018,9.975714286,2.994395604,87.83,149.6842857,13.865802,63.17,70.45298302,10.6099996,4976.862305,61390,8.208576735,53.41291,-8.24389,53.41291,97,SI<19
Israel,29,1,42,1,5.11646E-07,2.48490665,1.65047E-07,1.098612289,1.64717E-05,0.000632064,1.13882E-06,7.25052E-05,-0.471914272,-0.226948875,30.95142857,1.88994898,83.87,39.62857143,11.976986,92.418,410.5268022,8.267999947,3144.626221,40920,21.38110224,31.046051,34.851612,31.046051,76,SI>19
Italy,41,1,55,1,1.22864E-07,2.833213344,3.30787E-08,0,0.000191443,0.001058082,1.34678E-05,9.34568E-05,-0.273541743,-0.168691106,19.44,2.636071429,93.25,148.5714286,22.75168,70.438,205.4507479,16.86599994,2840.130615,33730,16.75071194,41.87194,12.56738,41.87194,89,SI>19
Japan,71,1,86,1,7.90661E-09,0,3.16264E-08,-1.029619417,2.1585E-06,6.6158E-05,1.75075E-07,4.84675E-06,-0.21912749,-0.142293044,10.71285714,0.632299107,51.18,130.1171429,27.57637,91.616,347.0734584,8.306999922,4168.986328,41310,11.70477819,36.204824,138.252924,36.204824,96,SI<19
Jordan,3,1,25,1,3.50032E-07,1.609437912,9.8009E-08,0,1.40013E-07,1.76136E-05,7.00065E-08,2.25421E-06,-5.491559437,-0.520108474,43.25571429,2.026581633,100,,3.84649,90.979,112.1424983,9.201999754,340.6618042,4200,33.00608118,30.585164,36.238414,30.585164,37,SI>19
"Korea, South",39,1,41,1,1.14243E-07,2.48490665,5.57283E-08,-0.84729786,2.70282E-06,7.28118E-05,1.30961E-07,1.21488E-05,-0.406368281,-0.276055688,31.35,0.784482759,76.85,80.03857143,14.418556,81.459,529.6521036,19.04099965,2283.074707,30600,25.03942539,35.907757,127.766922,35.907757,83,SI>19
Kuwait,21,1,65,0,2.34161E-07,0,7.22554E-06,3.80666249,2.94374E-06,0.000691088,4.34871E-07,4.652E-05,-0.697534144,-0.153471198,80.29,1.028461538,93.66,,2.550472,100,232.1722222,1.083000006,1529.077637,34290,60.74515954,29.31166,47.481766,29.31166,36,SI>19
Latvia,24,1,30,1,8.33118E-07,1.098612289,6.05904E-07,0.693147181,6.05904E-06,0.000181468,6.05904E-07,1.7041E-05,-0.596522685,-0.365996186,,,-Inf,44.03714286,20.04362,68.142,30.98330653,7.142999858,930.352356,16510,13.42645752,56.879635,24.603189,56.879635,89,
Lithuania,26,1,36,1,9.44583E-07,1.609437912,3.67338E-07,0,9.60326E-06,0.000219615,8.39629E-07,1.97838E-05,-0.538088684,-0.30085137,,,-Inf,52.22142857,19.705033,67.679,44.53135138,9.152000487,1078.179199,17430,11.85328236,55.169438,23.881275,55.169438,91,
Luxembourg,28,1,28,1,3.19501E-06,1.386294361,1.82572E-06,0.693147181,7.6452E-05,0.002052566,7.07467E-06,0.000264958,-0.423535366,-0.294140731,4.761428571,25.83619048,82.27,96.11428571,14.183154,90.981,250.0938272,5.61499989,5782.628418,70870,10.3646374,49.815273,6.129583,49.815273,98,SI<19
Malaysia,18,1,74,1,1.63311E-07,1.945910149,1.67725E-07,0.133531393,1.41242E-06,0.000112415,1.32414E-07,5.34512E-06,-0.879851764,-0.164044965,21.70857143,49.32142857,71.03,71.38714286,6.671755,76.036,95.96282149,21.78900099,384.0660706,10590,16.03580871,4.210484,101.975766,4.210484,52,SI>19
Malta,3,1,35,1,5.50024E-06,1.098612289,1.22947E-05,1.386294361,2.58835E-06,0.000684942,9.70631E-07,5.07964E-05,-4.615106497,-0.282505314,,,-Inf,,20.349324,94.612,1511.03125,9.809000198,2585.563965,26480,13.90954337,35.937496,14.375416,35.937496,90,
Mexico,39,1,60,1,2.54839E-08,1.791759469,3.32399E-08,1.609437912,9.09333E-06,0.0001062,7.99974E-07,8.03409E-06,-0.359966322,-0.195530284,2.78,2.707,83.99,99.60714286,7.223685,80.156,64.91462641,26.93200016,494.6776428,9180,20.92111579,23.634501,-102.552784,23.634501,62,SI<19
Morocco,31,1,51,1,2.70925E-08,0,4.2574E-08,0.693147181,2.30673E-06,7.77478E-05,2.28351E-07,5.50365E-06,-0.49330261,-0.237452916,0,2.462307692,96.03,141.0328571,7.012905,62.453,80.72851893,47.53800011,161.0108643,3090,32.59354146,31.791702,-7.09262,31.791702,37,SI<19
Netherlands,33,1,47,1,1.83419E-07,1.609437912,8.17047E-07,3.63758616,0.000104174,0.001421003,9.00419E-06,6.56222E-05,-0.352055155,-0.204927576,0,1.740930233,74.86,117.4871429,19.196193,91.49,511.4579104,12.65300006,4911.44043,51260,12.03440807,52.132633,5.291266,52.132633,99,SI<19
New Zealand,19,1,37,1,2.07373E-07,0,3.25872E-07,1.098612289,1.51086E-06,0.000165839,2.66622E-07,1.5553E-05,-0.796707012,-0.299223231,44.82142857,-17.50952381,97.35,32.98428571,15.652425,86.538,18.55417569,12.08699977,3937.221924,40640,5.956001129,-40.900557,174.885971,-40.900557,97,SI>19
Norway,26,1,32,1,8.43244E-07,0.84729786,2.60879E-06,3.465735903,1.49149E-05,0.000632196,1.52838E-06,5.00412E-05,-0.515050101,-0.309458217,11.11,6.852,79.63,88.35857143,17.049222,82.248,14.55491954,4.906000108,7936.375,80610,6.956519803,60.472024,8.468946,60.472024,100,SI<19
Peru,39,1,54,0,1.86306E-07,1.098612289,2.253E-07,2.708050201,2.0797E-05,0.000785008,1.6031E-06,6.03545E-05,-0.342142865,-0.179912494,25.62428571,5.415824176,96.03,,8.088393,77.907,24.99160625,50.41799927,332.5709229,6470,24.78672805,-9.189967,-75.015152,-9.189967,72,SI>19
Philippines,73,1,64,1,9.12566E-09,0,1.43403E-08,0.693147181,2.56431E-06,1.83621E-05,2.17712E-07,2.88762E-06,-0.210138242,-0.199298091,6.572857143,1.834707792,87.3,109.7828571,5.122569,46.907,357.6883053,32.69899893,132.9009857,3830,18.06979891,12.879721,121.774017,12.879721,59,SI<19
Poland,47,1,38,1,8.68166E-08,1.609437912,2.30253E-07,3.091042453,1.35547E-05,0.000137601,7.36054E-07,1.0301E-05,-0.300467286,-0.302191354,11.11,2.749285714,88.09,112.3,17.517817,60.058,124.0358862,16.05900002,906.8201294,14100,20.87782222,51.919438,19.145136,51.919438,84,SI<19
Portugal,27,1,32,1,8.54618E-07,3.135494216,1.12081E-06,2.708050201,4.31232E-05,0.000730684,3.13827E-06,7.87089E-05,-0.469327388,-0.295304829,12.3,2.57125,94.58,90.42714286,21.953858,65.211,112.2394535,11.84800011,1908.033936,21990,8.160752248,39.399872,-8.224454,39.399872,96,SI<19
Qatar,10,1,60,0,6.44604E-07,1.098612289,1.88423E-06,2.079441542,1.23962E-06,0.003418823,1.9834E-07,0.000276519,-1.543328463,-0.136553875,62.11714286,1.362993197,90.74,,1.37007,99.135,239.5931955,0.144000003,1649.186157,61150,91.18732793,25.354826,51.183884,25.354826,25,SI>19
Russia,40,1,89,0,8.81022E-09,1.098612289,1.37048E-08,0,4.67137E-06,0.000534072,4.02333E-07,4.06107E-05,-0.368149628,-0.113612124,19.67285714,2.108904762,82.94,103.6571429,14.674708,74.433,8.822079555,5.350000024,585.87323,10230,16.16022381,61.52401,105.318756,61.52401,20,SI>19
Saudi Arabia,32,1,58,0,1.19E-07,2.079441542,1.19E-07,2.397895273,3.31149E-06,0.000487071,1.80552E-07,3.49717E-05,-0.485226464,-0.176913302,47.88285714,1.878285714,94.84,58.34142857,3.314088,83.844,15.67665431,3.015999917,1093.405518,21600,87.94544668,23.885942,45.079162,23.885942,7,SI>19
Singapore,14,1,94,1,3.4186E-07,0,7.32558E-07,0,6.59302E-07,0.001876569,9.76744E-08,0.000171809,-1.152973331,-0.092224744,24.54428571,2.02377551,81.21,63.31285714,11.46338,100,7952.998418,9.665999621,2618.712402,58770,19.0782565,1.352083,103.819836,1.352083,50,SI>19
Slovakia,34,1,44,1,7.84981E-08,0,1.07281E-06,2.772588722,1.91012E-06,0.000176437,3.13992E-07,1.09636E-05,-0.440408749,-0.259566663,23.01428571,3.225034014,90.74,55.42142857,15.629247,53.726,113.2905782,11.79799993,1186.136353,18260,17.56291134,48.669026,19.699024,48.669026,88,SI>19
Slovenia,28,1,28,1,4.81016E-07,0,9.34546E-06,3.349904087,1.86909E-05,0.000367084,1.92406E-06,2.30201E-05,-0.470038232,-0.381398017,7.368571429,5.285089286,91.93,93.63571429,19.60688,54.541,102.6398595,11.19599962,1920.28186,24580,16.02397998,46.151241,14.995463,46.151241,94,SI<19
South Africa,32,1,55,0,5.29915E-08,1.609437912,6.98524E-08,2.564949357,1.38501E-06,7.55061E-05,8.43047E-08,3.82462E-06,-0.50902589,-0.226800925,54.19285714,-43.15714286,97.35,57.10428571,5.318005,66.355,47.63011978,10.29799986,499.2375488,5750,25.10220499,-30.559482,22.937506,-30.559482,79,SI>19
Spain,31,1,59,1,2.0166E-07,3.33220451,2.13882E-08,0,0.000183016,0.001559028,1.85161E-05,0.000171222,-0.351512006,-0.146992406,11.11,1.731086957,90.74,139.22,19.378508,80.321,93.52905826,10.98200044,2506.464844,29340,9.697927863,40.463667,-3.74922,40.463667,92,SI<19
Sweden,44,1,85,1,2.97051E-07,1.945910149,9.90171E-08,0,0.000176901,0.001598234,1.06373E-05,6.16028E-05,-0.260253353,-0.114056517,0,2.352916667,56.47,109.9371429,20.095525,87.431,25.00104343,6.063000068,5904.583984,55490,6.18466509,60.128161,18.643501,60.128161,100,SI<19
Switzerland,31,1,29,1,2.3109E-07,1.386294361,1.73318E-06,3.737669618,6.25265E-05,0.000874628,6.85018E-06,0.000129889,-0.383588233,-0.308580258,3.402857143,6.340595238,79.49,105.22,18.623217,73.797,215.5213784,8.941000104,9956.259766,84410,10.3031001,46.818188,8.227512,46.818188,96,SI<19
Thailand,38,1,71,1,1.43267E-08,0,1.20753E-07,0.538996501,3.27466E-07,2.33975E-05,3.684E-08,1.72329E-06,-0.450439017,-0.186919358,0,1.601458333,76.87,82.18285714,11.900893,49.949,135.8972068,48.47200012,247.0351105,6610,26.25672656,15.870032,100.992541,15.870032,32,SI<19
Turkey,36,1,36,1,1.43977E-07,3.610917913,1.40589E-07,3.850147602,2.3873E-05,0.000721403,1.45332E-06,5.40522E-05,-0.373379494,-0.272932218,25.45285714,4.468831169,74.61,95.87857143,8.483213,75.143,106.9601289,27.04299927,444.6536865,10420,44.31152568,38.963745,35.243322,38.963745,32,SI>19
United Arab Emirates,39,1,91,0,2.02216E-07,0,4.47765E-07,0.223143551,7.07757E-06,0.001018125,6.21093E-07,5.2947E-05,-0.36645603,-0.108200218,22.77142857,2.42744898,90.74,66.54,1.085001,86.522,135.6091101,0.932000011,1357.017456,40880,40.91750982,23.424076,53.847818,23.424076,17,SI>19
United Kingdom,39,1,74,1,5.47136E-08,2.079441542,2.94612E-08,0,0.000130717,0.001160445,1.25462E-05,8.18515E-05,-0.289386906,-0.127170323,11.11,3.388571429,82.27,123.6385714,18.395866,83.398,274.8273922,12.99799958,3858.674316,41770,10.47269039,55.378051,-3.435973,55.378051,94,SI<19
US,49,1,78,1,2.24426E-08,2.63905733,1.07897E-08,-0.559615788,9.88093E-05,0.001207094,6.65122E-06,9.54537E-05,-0.243279801,-0.11867781,5.56,1.383541667,71.97,116.7057143,15.807654,82.256,35.76608858,3.836999949,10246.13867,63080,7.409441662,37.09024,-95.712891,37.09024,86,SI<19